,Company,Initiatives
27,PIMCO,"['Sustainable Development Goals', 'UN Global Compact', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'The Greenhouse Gas Protocol', 'Climate Action 100+', 'Principles for Responsible Investment', 'Institutional Investors Group on Climate Change', 'Climate Bonds Initiative', 'Green Bond Principles']"
28,Invesco,"['Climate Action 100+', 'Institutional Investors Group on Climate Change', 'Carbon Disclosure Project', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Global Real Estate Sustainability Benchmark', 'UN Global Compact', 'Asia Investor Group on Climate Change', 'Climate Bonds Initiative', 'Investor Group on Climate Change', 'Net Zero Asset Managers initiative']"
29,VP,"['Stock Exchange of Hong Kong', 'Principles for Responsible Investment']"
30,Sinopac,"['Global Reporting Initiative', 'Sustainable Development Goals', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Equator Principles', 'Intergovernmental Panel on Climate Change', 'UN Global Compact', 'Principles for Responsible Investment', 'Climate Action 100+', 'Science Based Targets initiative']"
31,Insight,"['Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'Sustainable Development Goals', 'Climate Action 100+', 'Green Bond Principles', 'UN Global Compact']"
32,CMBC,"['Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Green Bond Principles']"
33,TIAA,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Investor Network on Climate Risk', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles']"
34,Sunlife,"['Sustainable Development Goals', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Global Reporting Initiative', 'Climate Action 100+', 'Principles for Responsible Investment', 'Green Bond Principles', 'Intergovernmental Panel on Climate Change']"
35,CNCBI,['Stock Exchange of Hong Kong']
36,CITIC,['Stock Exchange of Hong Kong']
37,CAPITAL,"['Principles for Responsible Investment', 'UN Global Compact']"
38,Muzinich,"['Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure']"
39,PICTET,"['Climate Action 100+', 'Principles for Responsible Banking', 'Principles for Responsible Investment', 'Institutional Investors Group on Climate Change', 'Paris Agreement Capital Transition Assessment', 'Sustainable Development Goals', 'UN Global Compact', 'Investor Group on Climate Change']"
40,GAM,"['UN Global Compact', 'Principles for Responsible Investment', 'Climate Action 100+', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Investor Network on Climate Risk', 'Sustainable Development Goals', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure']"
41,TCW,['Principles for Responsible Investment']
42,Harbor,['Carbon Disclosure Project']
43,Wellington,"['Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Global Real Estate Sustainability Benchmark', 'International Corporate Governance Network', 'Investor Network on Climate Risk', 'Sustainable Development Goals']"
44,Edward,['Sustainable Development Goals']
45,EVERBRIGHT,['Stock Exchange of Hong Kong']
46,Pinebridge,"['UN Global Compact', 'Principles for Responsible Investment', 'Climate Disclosure Standards Board', 'Climate Action 100+', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Investor Network on Climate Risk', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Global Investors for Sustainable Development Alliance ']"
47,UBS,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Principles for Responsible Banking', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Principles for Responsible Investment', 'Paris Agreement Capital Transition Assessment', 'Intergovernmental Panel on Climate Change', 'Climate Action 100+', 'Institutional Investors Group on Climate Change', 'Global Real Estate Sustainability Benchmark', 'Green Investment Principle', 'Carbon Disclosure Project', 'United Nations Framework Convention on Climate Change']"
48,HSBC,"['UN Global Compact', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Climate Action 100+', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'Investor Network on Climate Risk', 'Climate Bonds Initiative', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project']"
49,Mellon,"['Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Carbon Disclosure Project', 'Climate Action 100+', 'Climate Disclosure Standards Board', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Equator Principles', 'The Greenhouse Gas Protocol']"
50,Ninetyone,"['Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Climate Action 100+']"
51,Neuberger,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Equator Principles', 'UN Global Compact', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']"
52,JPMORGAN,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Climate Action 100+', 'Equator Principles', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Center for Climate-Aligned Finance']"
53,1STSTATE,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Investor Group on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+']"
54,BOCHK,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Stock Exchange of Hong Kong', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Green Investment Principle']"
55,BOCOM,['Stock Exchange of Hong Kong']
56,TROWEPRICE,"['Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Intergovernmental Panel on Climate Change', 'The Greenhouse Gas Protocol']"
57,SMTH,"['Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Poseidon Principles', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Investment', 'UN Global Compact', 'Equator Principles', 'Climate Action 100+', 'Carbon Disclosure Project', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Intergovernmental Panel on Climate Change', 'Green Bond Principles', 'Science Based Targets initiative']"
58,fullerton,"['Principles for Responsible Investment', 'Sustainable Development Goals']"
59,ALLIANZ,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Climate Action 100+', 'Institutional Investors Group on Climate Change', 'Green Bond Principles', 'Carbon Disclosure Project', 'Climate Bonds Initiative', 'Investor Group on Climate Change', 'Sustainability Accounting Standards Board', 'International Corporate Governance Network']"
60,GOLDMAN,"['Sustainable Development Goals', 'Sustainability Accounting Standards Board', 'Center for Climate-Aligned Finance', 'Institutional Investors Group on Climate Change']"
61,PGIM,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']"
