,name,total_sent,e_sent,percent,percentile
114,TIAA,425,28,6.588235294117648,37.903225806451616
115,TROWEPRICE,483,31,6.418219461697723,36.29032258064516
116,TaiwanLife,342,83,24.269005847953213,87.90322580645162
117,TokioMarine,7262,871,11.993941063068025,57.25806451612903
118,UBS,3539,480,13.563153433173214,62.096774193548384
119,UOB,1335,287,21.49812734082397,83.06451612903226
120,UOBAM,40,2,5.0,27.419354838709676
121,VP,2482,102,4.10958904109589,17.741935483870968
122,Vanguard,505,7,1.3861386138613863,2.4193548387096775
123,Wellington,537,35,6.517690875232775,37.096774193548384
